Country,Ratification,treaty,Entry,Signature,Note,Territorial Application,Declarations,Reservations,Communication,Authorities,Denunciation,Effect denunciation,Objection
Armenia,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Austria,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Azerbaijan,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Belgium,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,4/12/1989,,,,,,,,,
Bosnia and Herzegovina,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Bulgaria,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Croatia,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Cyprus,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Czech Republic,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Denmark,13/7/1989 s,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,13/7/1989 s,,,,,,,,,
Estonia,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Finland,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
France,19/12/1989 s,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,19/12/1989 s,,,,,,,,,
Georgia,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Germany,28/12/1989,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,5/7/1989,,X,X,,,,,,
Greece,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Hungary,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Iceland,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Ireland,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Italy,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Latvia,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Liechtenstein,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Lithuania,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Luxembourg,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Malta,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Moldova,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Monaco,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Montenegro,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Netherlands,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Norway,28/12/1989 s,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,28/12/1989 s,,,,,,,,,
Poland,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Portugal,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Romania,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Russia,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
San Marino,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Serbia,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Slovakia,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Slovenia,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Spain,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Sweden,31/10/1989 s,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,31/10/1989 s,,,,,,,,,
Switzerland,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Macedonia,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
Turkey,24/11/1989,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,20/4/1989,,,,,,,,,
Ukraine,,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,,,,,,,,,,
United Kingdom,18/12/1989 s,Third Additional Protocol to the Protocol to the European Agreement on the Protection of Television Broadcasts,,18/12/1989 s,,,,,,,,,
Albania,27/4/2005,European Convention on Transfrontier Television,1/8/2005,2/7/1999,,,,,,X,,,
Andorra,,European Convention on Transfrontier Television,,,,,,,,,,,
Armenia,,European Convention on Transfrontier Television,,,,,,,,,,,
Austria,7/8/1998,European Convention on Transfrontier Television,1/12/1998,5/5/1989,,,,,,X,,,
Azerbaijan,,European Convention on Transfrontier Television,,,,,,,,,,,
Belgium,,European Convention on Transfrontier Television,,,,,,,,,,,
Bosnia and Herzegovina,5/1/2005,European Convention on Transfrontier Television,1/5/2005,9/12/2003,,,,,,,,,
Bulgaria,3/3/1999,European Convention on Transfrontier Television,1/7/1999,20/5/1997,,,,,,X,,,
Croatia,12/12/2001,European Convention on Transfrontier Television,1/4/2002,7/5/1999,,,,,,X,,,
Cyprus,10/10/1991,European Convention on Transfrontier Television,1/5/1993,3/6/1991,,,,,,X,,,
Czech Republic,17/11/2003,European Convention on Transfrontier Television,1/3/2004,7/5/1999,,,,,,X,,,
Denmark,,European Convention on Transfrontier Television,,,,,,,,,,,
Estonia,24/1/2000,European Convention on Transfrontier Television,1/5/2000,9/2/1999,,,,,,X,,,
Finland,18/8/1994,European Convention on Transfrontier Television,1/12/1994,26/11/1992,,,,X,,X,,,
France,21/10/1994,European Convention on Transfrontier Television,1/2/1995,12/2/1991,,,X,,X,X,,,
Georgia,,European Convention on Transfrontier Television,,29/10/2003,,,,,,,,,
Germany,22/7/1994,European Convention on Transfrontier Television,1/11/1994,9/10/1991,,,X,,,X,,,
Greece,,European Convention on Transfrontier Television,,12/3/1990,,,,,,,,,
Hungary,2/9/1996,European Convention on Transfrontier Television,1/1/1997,29/1/1990,,,X,X,,,,,
Iceland,,European Convention on Transfrontier Television,,,,,,,,,,,
Ireland,,European Convention on Transfrontier Television,,,,,,,,,,,
Italy,12/2/1992,European Convention on Transfrontier Television,1/5/1993,16/11/1989,,,,,,X,,,
Latvia,26/6/1998,European Convention on Transfrontier Television,1/10/1998,28/11/1997,,,,X,,X,,,
Liechtenstein,12/7/1999,European Convention on Transfrontier Television,1/11/1999,5/5/1989,,,X,X,,X,,,
Lithuania,27/9/2000,European Convention on Transfrontier Television,1/1/2001,20/2/1996,,,X,,,X,,,
Luxembourg,,European Convention on Transfrontier Television,,5/5/1989,,,,,,,,,
Malta,21/1/1993,European Convention on Transfrontier Television,1/5/1993,26/11/1991,,,,,,X,,,
Moldova,26/3/2003,European Convention on Transfrontier Television,1/7/2003,3/11/1999,,,X,X,,X,,,
Monaco,,European Convention on Transfrontier Television,,,,,,,,,,,
Montenegro,26/2/2008,European Convention on Transfrontier Television,1/6/2008,30/1/2008,,,,,,X,,,
Netherlands,,European Convention on Transfrontier Television,,5/5/1989,,,,,,,,,
Norway,30/7/1993,European Convention on Transfrontier Television,1/11/1993,5/5/1989,,,,X,,X,,,
Poland,7/9/1990,European Convention on Transfrontier Television,1/5/1993,16/11/1989,,,,,,X,,,
Portugal,30/5/2002,European Convention on Transfrontier Television,1/9/2002,16/11/1989,,,,,,X,,,
Romania,13/7/2004,European Convention on Transfrontier Television,1/11/2004,18/3/1997,,,,X,,X,,,
Russia,,European Convention on Transfrontier Television,,4/10/2006,,,,,,,,,
San Marino,31/1/1990,European Convention on Transfrontier Television,1/5/1993,5/5/1989,,,,,,,,,
Serbia,14/9/2009,European Convention on Transfrontier Television,1/1/2010,14/9/2009,,,,,,X,,,
Slovakia,20/1/1997,European Convention on Transfrontier Television,1/5/1997,11/9/1996,,,,X,,X,,,
Slovenia,29/7/1999,European Convention on Transfrontier Television,1/11/1999,18/7/1996,,,,X,,X,,,
Spain,19/2/1998,European Convention on Transfrontier Television,1/6/1998,5/5/1989,,,X,,,X,,,
Sweden,,European Convention on Transfrontier Television,,5/5/1989,,,,,,,,,
Switzerland,9/10/1991,European Convention on Transfrontier Television,1/5/1993,5/5/1989,,,X,X,,X,,,
Macedonia,18/11/2003,European Convention on Transfrontier Television,1/3/2004,30/5/2001,,,,X,,X,,,
Turkey,21/1/1994,European Convention on Transfrontier Television,1/5/1994,7/9/1992,,,,,,X,,,
Ukraine,26/3/2009,European Convention on Transfrontier Television,1/7/2009,14/6/1996,,,X,X,,,,,
United Kingdom,9/10/1991,European Convention on Transfrontier Television,1/5/1993,5/5/1989,,X,,,,X,,,
Belarus,,European Convention on Transfrontier Television,,,,,,,,,,,
"Vatican City",7/1/1993,European Convention on Transfrontier Television,1/5/1993,17/9/1992,,,,,,X,,,
Kazakhstan,,European Convention on Transfrontier Television,,,,,,,,,,,
European Union,,European Convention on Transfrontier Television,,,,,,,,,,,
Albania,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Andorra,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Armenia,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Austria,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Azerbaijan,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Belgium,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Bosnia and Herzegovina,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Bulgaria,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Croatia,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Cyprus,8/2/1994,Protocol to the Convention on Insider Trading,1/6/1994,28/10/1991,8,,,,,,,,
Czech Republic,8/9/2000,Protocol to the Convention on Insider Trading,1/1/2001,15/10/1999,8,,,,,,,,
Denmark,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Estonia,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Finland,13/9/1995,Protocol to the Convention on Insider Trading,1/1/1996,13/9/1995,8,,,,,,,,
France,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Georgia,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Germany,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Greece,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Hungary,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Iceland,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Ireland,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Italy,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Latvia,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Liechtenstein,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Lithuania,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Luxembourg,29/8/1997,Protocol to the Convention on Insider Trading,1/12/1997,29/8/1997,8,,,,,,,,
Malta,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Moldova,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Monaco,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Montenegro,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Netherlands,4/7/1994,Protocol to the Convention on Insider Trading,1/11/1994,1/6/1993,8,,,,,,,,
Norway,11/4/1990,Protocol to the Convention on Insider Trading,1/10/1991,22/9/1989,,,,,,,,,
Poland,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Portugal,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Romania,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Russia,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
San Marino,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Serbia,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Slovakia,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Slovenia,,Protocol to the Convention on Insider Trading,,23/11/1993,8,,,,,,,,
Spain,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Sweden,3/6/1991,Protocol to the Convention on Insider Trading,1/10/1991,15/9/1989,,,,,,,,,
Switzerland,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Macedonia,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Turkey,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
Ukraine,,Protocol to the Convention on Insider Trading,,,,,,,,,,,
United Kingdom,21/12/1990,Protocol to the Convention on Insider Trading,1/10/1991,13/9/1989,,,,,,,,,
Albania,,Protocol to the Convention on the Elaboration of a European Pharmacopoeia,,,,,,,,,,,
Andorra,,Protocol to the Convention on the Elaboration of a European Pharmacopoeia,,,,,,,,,,,
Armenia,,Protocol to the Convention on the Elaboration of a European Pharmacopoeia,,,,,,,,,,,
Austria,22/8/1991,Protocol to the Convention on the Elaboration of a European Pharmacopoeia,1/11/1992,24/7/1990,,,,,,,,,
Azerbaijan,,Protocol to the Convention on the Elaboration of a European Pharmacopoeia,,,,,,,,,,,
Belgium,4/4/1991,Protocol to the Convention on the Elaboration of a European Pharmacopoeia,1/11/1992,16/11/1989,,,,,,,,,
Bosnia and Herzegovina,29/12/1994 su,Protocol to the Convention on the Elaboration of a European Pharmacopoeia,30/3/1995,,,,,,,,,,
Bulgaria,22/9/2004 a,Protocol to the Convention on the Elaboration of a European Pharmacopoeia,23/12/2004,,23,,,,,,,,
Croatia,14/9/1994 su,Protocol to the Convention on the Elaboration of a European Pharmacopoeia,15/12/1994,,,,,,,,,,
Cyprus,10/12/1991,Protocol to the Convention on the Elaboration of a European Pharmacopoeia,1/11/1992,3/12/1990,,,,,,,,,
